iter	Passed	Remaining
0	145	145229
1	146	73217
2	148	49415
3	150	37507
4	157	31393
5	160	26568
6	162	23013
7	164	20398
8	166	18294
9	167	16576
10	169	15214
11	170	14052
12	172	13090
13	175	12377
14	177	11655
15	179	11013
16	181	10484
17	182	9978
18	184	9511
19	185	9086
20	187	8754
21	190	8448
22	191	8145
23	192	7844
24	194	7567
25	195	7314
26	196	7082
27	197	6864
28	198	6659
29	200	6486
30	202	6338
31	204	6171
32	205	6023
33	206	5872
34	207	5733
35	209	5601
36	210	5483
37	212	5371
38	214	5282
39	215	5182
40	216	5075
41	218	4973
42	219	4875
43	219	4779
44	220	4685
45	221	4601
46	223	4526
47	224	4458
48	226	4389
49	227	4319
50	228	4248
51	229	4180
52	230	4113
53	231	4052
54	232	3992
55	233	3936
56	234	3885
57	236	3836
58	238	3799
59	239	3758
60	241	3714
61	242	3669
62	243	3623
63	244	3578
64	245	3538
65	247	3500
66	249	3470
67	250	3431
68	251	3398
69	253	3363
70	254	3330
71	256	3301
72	257	3273
73	259	3245
74	262	3239
75	266	3245
76	269	3227
77	289	3419
78	290	3390
79	293	3372
80	295	3347
81	296	3316
82	297	3291
83	300	3281
84	301	3249
85	302	3219
86	303	3186
87	304	3156
88	305	3126
89	306	3098
90	307	3071
91	308	3043
92	309	3018
93	310	2992
94	312	2974
95	314	2957
96	315	2934
97	316	2909
98	316	2884
99	318	2862
100	319	2839
101	319	2815
102	321	2797
103	322	2775
104	323	2754
105	324	2739
106	326	2725
107	328	2709
108	329	2692
109	331	2678
110	332	2664
111	333	2647
112	334	2627
113	335	2608
114	337	2597
115	339	2584
116	340	2568
117	341	2550
118	341	2531
119	342	2514
120	343	2496
121	344	2481
122	345	2462
123	346	2445
124	347	2429
125	348	2414
126	349	2405
127	351	2393
128	352	2381
129	353	2366
130	354	2351
131	355	2337
132	356	2324
133	357	2310
134	358	2296
135	359	2283
136	360	2270
137	361	2258
138	363	2251
139	364	2240
140	365	2228
141	366	2215
142	367	2205
143	369	2193
144	370	2187
145	372	2175
146	373	2166
147	375	2161
148	377	2154
149	378	2143
150	379	2134
151	380	2125
152	381	2114
153	382	2103
154	383	2092
155	384	2081
156	385	2070
157	387	2067
158	389	2058
159	390	2048
160	391	2039
161	392	2030
162	393	2022
163	395	2013
164	396	2004
165	397	1995
166	399	1993
167	401	1987
168	402	1981
169	404	1972
170	404	1963
171	405	1953
172	406	1945
173	407	1936
174	408	1926
175	409	1918
176	410	1909
177	412	1906
178	414	1901
179	415	1894
180	416	1885
181	417	1878
182	418	1870
183	419	1862
184	420	1853
185	421	1845
186	422	1837
187	424	1832
188	426	1831
189	427	1824
190	428	1816
191	430	1809
192	431	1803
193	432	1795
194	433	1788
195	434	1781
196	435	1774
197	437	1773
198	439	1768
199	440	1761
200	441	1755
201	442	1748
202	443	1742
203	444	1735
204	445	1728
205	446	1721
206	447	1715
207	451	1719
208	452	1714
209	453	1707
210	454	1700
211	455	1694
212	456	1688
213	457	1681
214	459	1676
215	460	1670
216	463	1672
217	465	1669
218	466	1663
219	467	1658
220	469	1653
221	470	1647
222	471	1641
223	471	1635
224	473	1629
225	474	1624
226	476	1622
227	477	1618
228	479	1613
229	480	1607
230	481	1601
231	482	1595
232	483	1590
233	483	1584
234	484	1578
235	485	1572
236	486	1566
237	489	1566
238	490	1562
239	491	1556
240	492	1551
241	493	1545
242	494	1540
243	495	1535
244	496	1530
245	497	1524
246	498	1520
247	500	1516
248	502	1514
249	503	1510
250	504	1506
251	505	1501
252	506	1496
253	508	1492
254	509	1488
255	510	1483
256	514	1488
257	516	1484
258	517	1479
259	518	1474
260	519	1471
261	520	1466
262	522	1463
263	523	1458
264	524	1453
265	526	1451
266	527	1449
267	529	1444
268	530	1440
269	530	1435
270	531	1431
271	533	1426
272	534	1422
273	535	1418
274	536	1414
275	538	1411
276	540	1410
277	541	1406
278	542	1403
279	544	1399
280	545	1395
281	546	1391
282	547	1387
283	548	1383
284	550	1380
285	552	1378
286	553	1375
287	554	1371
288	555	1367
289	556	1363
290	557	1358
291	559	1355
292	560	1352
293	561	1347
294	562	1345
295	564	1343
296	566	1340
297	582	1372
298	583	1368
299	584	1363
300	585	1359
301	586	1355
302	587	1351
303	588	1346
304	589	1342
305	590	1338
306	592	1336
307	594	1335
308	595	1331
309	596	1327
310	597	1323
311	598	1319
312	599	1315
313	600	1311
314	601	1307
315	602	1304
316	604	1302
317	606	1301
318	607	1297
319	608	1293
320	609	1289
321	610	1285
322	611	1281
323	612	1278
324	613	1274
325	614	1270
326	615	1266
327	619	1268
328	620	1265
329	621	1262
330	622	1258
331	623	1255
332	624	1251
333	625	1247
334	626	1243
335	627	1240
336	628	1236
337	630	1235
338	632	1232
339	633	1229
340	634	1226
341	635	1222
342	636	1219
343	637	1216
344	638	1212
345	639	1209
346	640	1205
347	642	1204
348	644	1202
349	645	1199
350	646	1195
351	647	1192
352	648	1188
353	649	1185
354	650	1181
355	651	1178
356	653	1176
357	655	1174
358	657	1173
359	658	1170
360	659	1167
361	660	1164
362	661	1161
363	662	1157
364	664	1155
365	665	1152
366	667	1150
367	669	1148
368	670	1146
369	671	1143
370	672	1140
371	673	1137
372	674	1134
373	675	1131
374	676	1127
375	677	1124
376	678	1121
377	680	1120
378	682	1118
379	683	1114
380	684	1111
381	684	1108
382	685	1104
383	687	1102
384	687	1098
385	688	1095
386	690	1092
387	691	1091
388	693	1089
389	694	1086
390	695	1083
391	696	1080
392	697	1077
393	698	1074
394	699	1071
395	700	1068
396	701	1065
397	702	1062
398	704	1061
399	706	1059
400	707	1056
401	708	1053
402	709	1050
403	710	1048
404	711	1045
405	712	1042
406	713	1039
407	714	1037
408	716	1035
409	718	1034
410	764	1096
411	766	1094
412	768	1091
413	769	1088
414	770	1086
415	772	1084
416	774	1082
417	775	1080
418	779	1081
419	782	1080
420	786	1081
421	787	1078
422	788	1075
423	789	1072
424	790	1068
425	791	1066
426	792	1062
427	793	1059
428	794	1056
429	795	1054
430	797	1052
431	799	1050
432	800	1048
433	801	1045
434	803	1043
435	804	1040
436	805	1037
437	806	1034
438	807	1031
439	809	1030
440	812	1029
441	813	1027
442	814	1024
443	816	1022
444	817	1019
445	818	1017
446	820	1015
447	822	1012
448	823	1011
449	825	1009
450	826	1006
451	827	1003
452	829	1001
453	830	998
454	831	995
455	832	993
456	833	990
457	835	988
458	837	987
459	839	984
460	840	982
461	841	979
462	842	977
463	843	974
464	844	971
465	845	969
466	847	967
467	849	966
468	851	964
469	852	961
470	853	959
471	855	956
472	856	954
473	857	951
474	858	948
475	860	947
476	862	945
477	864	943
478	865	941
479	866	938
480	867	936
481	868	933
482	869	931
483	871	928
484	872	926
485	874	924
486	876	923
487	877	920
488	878	917
489	879	915
490	880	912
491	881	910
492	882	907
493	883	905
494	885	903
495	888	902
496	890	901
497	892	899
498	893	897
499	894	894
500	895	892
501	896	889
502	898	887
503	900	885
504	901	883
505	902	881
506	903	878
507	904	876
508	905	873
509	906	871
510	907	868
511	908	865
512	909	863
513	911	862
514	913	860
515	915	858
516	916	855
517	917	853
518	918	851
519	919	848
520	920	846
521	921	843
522	923	842
523	925	840
524	926	838
525	927	835
526	928	833
527	930	831
528	931	829
529	932	826
530	933	824
531	935	823
532	938	821
533	939	819
534	940	817
535	942	815
536	943	813
537	944	811
538	947	809
539	949	809
540	951	807
541	952	804
542	954	802
543	955	800
544	956	798
545	958	796
546	960	795
547	962	793
548	963	791
549	964	789
550	966	787
551	967	784
552	968	782
553	969	780
554	970	777
555	973	777
556	974	775
557	975	773
558	977	770
559	978	768
560	979	766
561	980	764
562	981	761
563	982	759
564	983	757
565	985	755
566	986	753
567	987	751
568	988	748
569	989	746
570	990	744
571	991	742
572	992	739
573	993	737
574	994	734
575	996	733
576	998	731
577	999	729
578	1000	727
579	1001	725
580	1002	723
581	1003	720
582	1004	718
583	1005	716
584	1007	714
585	1008	712
586	1010	710
587	1012	709
588	1013	706
589	1014	705
590	1016	703
591	1017	701
592	1018	699
593	1020	697
594	1023	696
595	1024	694
596	1026	692
597	1027	690
598	1029	688
599	1030	686
600	1031	684
601	1033	683
602	1035	682
603	1037	680
604	1038	678
605	1039	675
606	1041	674
607	1042	672
608	1043	669
609	1044	667
610	1046	666
611	1049	665
612	1050	663
613	1052	661
614	1053	659
615	1055	657
616	1056	655
617	1057	653
618	1059	652
619	1062	650
620	1063	649
621	1064	647
622	1066	645
623	1067	643
624	1068	641
625	1069	639
626	1070	636
627	1073	635
628	1074	634
629	1076	632
630	1077	629
631	1078	627
632	1079	625
633	1080	623
634	1081	621
635	1082	619
636	1083	617
637	1084	615
638	1087	614
639	1089	613
640	1091	611
641	1092	609
642	1093	607
643	1094	605
644	1095	602
645	1096	600
646	1098	599
647	1100	597
648	1101	595
649	1103	593
650	1104	592
651	1105	589
652	1106	587
653	1107	585
654	1107	583
655	1109	581
656	1111	580
657	1113	578
658	1114	576
659	1115	574
660	1116	572
661	1117	570
662	1118	568
663	1120	566
664	1122	565
665	1125	564
666	1126	562
667	1127	560
668	1129	558
669	1129	556
670	1130	554
671	1131	552
672	1132	550
673	1133	548
674	1136	547
675	1138	545
676	1139	543
677	1140	541
678	1141	539
679	1142	537
680	1143	535
681	1144	533
682	1145	531
683	1147	529
684	1150	528
685	1151	527
686	1152	525
687	1153	523
688	1154	521
689	1155	519
690	1156	517
691	1157	515
692	1158	513
693	1161	511
694	1162	510
695	1164	508
696	1165	506
697	1166	504
698	1167	502
699	1168	500
700	1170	499
701	1171	497
702	1173	495
703	1175	494
704	1176	492
705	1177	490
706	1178	488
707	1179	486
708	1180	484
709	1181	482
710	1182	480
711	1183	478
712	1185	477
713	1188	475
714	1189	474
715	1190	472
716	1191	470
717	1192	468
718	1194	466
719	1217	473
720	1220	472
721	1221	470
722	1223	468
723	1224	466
724	1225	464
725	1226	462
726	1228	461
727	1229	459
728	1230	457
729	1235	456
730	1237	455
731	1238	453
732	1243	452
733	1245	451
734	1246	449
735	1247	447
736	1248	445
737	1249	443
738	1250	441
739	1251	439
740	1252	437
741	1253	435
742	1256	434
743	1257	432
744	1258	430
745	1259	428
746	1259	426
747	1260	424
748	1261	422
749	1263	421
750	1264	419
751	1265	417
752	1266	415
753	1267	413
754	1269	411
755	1270	410
756	1271	408
757	1272	406
758	1273	404
759	1274	402
760	1276	400
761	1277	398
762	1278	397
763	1279	395
764	1281	393
765	1282	391
766	1283	389
767	1284	388
768	1285	386
769	1286	384
770	1288	382
771	1289	380
772	1291	379
773	1293	377
774	1294	375
775	1295	374
776	1296	372
777	1297	370
778	1298	368
779	1299	366
780	1300	364
781	1301	362
782	1303	361
783	1305	359
784	1307	357
785	1307	356
786	1309	354
787	1310	352
788	1311	350
789	1312	348
790	1313	346
791	1314	345
792	1314	343
793	1316	341
794	1318	339
795	1319	338
796	1320	336
797	1321	334
798	1322	332
799	1323	330
800	1324	329
801	1325	327
802	1326	325
803	1326	323
804	1328	321
805	1330	320
806	1332	318
807	1332	316
808	1333	314
809	1334	313
810	1335	311
811	1336	309
812	1337	307
813	1338	305
814	1339	304
815	1341	302
816	1345	301
817	1346	299
818	1347	297
819	1348	296
820	1349	294
821	1350	292
822	1351	290
823	1352	288
824	1355	287
825	1356	285
826	1357	283
827	1358	282
828	1359	280
829	1360	278
830	1361	276
831	1362	275
832	1363	273
833	1364	271
834	1367	270
835	1369	268
836	1370	266
837	1371	265
838	1372	263
839	1373	261
840	1374	259
841	1375	258
842	1376	256
843	1378	254
844	1380	253
845	1381	251
846	1382	249
847	1383	247
848	1384	246
849	1385	244
850	1386	242
851	1387	240
852	1387	239
853	1389	237
854	1390	235
855	1392	234
856	1393	232
857	1394	230
858	1395	229
859	1396	227
860	1397	225
861	1398	223
862	1399	222
863	1400	220
864	1401	218
865	1403	217
866	1404	215
867	1406	213
868	1407	212
869	1408	210
870	1409	208
871	1410	207
872	1411	205
873	1412	203
874	1413	201
875	1414	200
876	1416	198
877	1418	197
878	1419	195
879	1420	193
880	1421	191
881	1422	190
882	1423	188
883	1424	186
884	1425	185
885	1426	183
886	1427	181
887	1430	180
888	1431	178
889	1432	177
890	1433	175
891	1434	173
892	1435	172
893	1436	170
894	1437	168
895	1438	166
896	1440	165
897	1442	163
898	1443	162
899	1444	160
